id;cian_id;realty_type;project_type;heat_type;gas_type;is_apartment;is_penthouse;is_mortgage_allowed;is_premium;is_emergency;renovation_programm;finish_date;created_at;updated_at
178;242690916;flat;;none;unknown;True;;True;False;False;False;;2024-10-28 23:46:19.199327;2024-11-01 14:49:01.260059
179;242691237;flat;;none;unknown;True;;True;False;False;False;;2024-10-28 23:46:49.131294;2024-11-01 14:49:04.783301
180;243257002;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 23:47:05.826749;2024-11-01 14:49:06.563571
181;243441566;flat;;none;unknown;True;False;False;False;False;False;{'year': 2019, 'quarter': 4};2024-10-28 23:47:32.836209;2024-11-01 14:49:07.401806
182;243586808;flat;;none;unknown;True;False;True;False;False;False;{'year': 2019, 'quarter': 4};2024-10-28 23:48:01.526312;2024-11-01 14:49:08.119888
183;243689888;flat;Индивидуальный проект;itp;without;False;False;False;False;False;False;{'year': 2013, 'quarter': 4};2024-10-28 23:48:13.442522;2024-11-01 14:49:09.359445
184;243789887;flat;П-44;central;without;False;;True;False;False;False;;2024-10-28 23:48:35.381505;2024-11-01 14:49:11.951808
185;243972675;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;;2024-10-28 23:48:58.588962;2024-11-01 14:49:15.819885
186;244775968;flat;;none;unknown;True;;True;False;False;False;{'year': 2012, 'quarter': 3};2024-10-28 23:49:14.870279;2024-11-01 14:49:17.353313
187;245009579;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 23:49:41.995559;2024-11-01 14:49:18.042925
188;245213482;flat;;itp;without;;;;False;False;False;{'year': 2006, 'quarter': 4};2024-10-28 23:50:02.188476;2024-11-01 14:49:18.774784
189;245277094;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;{'year': 2013, 'quarter': 4};2024-10-28 23:50:28.197322;2024-11-01 14:49:20.151896
190;245421315;flat;Индивидуальный проект;itp;without;False;;False;False;False;False;;2024-10-28 23:50:51.577169;2024-11-01 14:49:22.494701
191;245684225;flat;II-49;central;without;False;;True;False;False;False;;2024-10-28 23:51:15.573546;2024-11-01 14:49:26.595366
192;246511922;flat;КОПЭ;central;without;False;;True;False;False;False;;2024-10-28 23:51:29.735895;2024-11-01 14:49:27.939260
193;246730952;flat;;;;;;;False;;;;2024-10-28 23:52:00.188571;2024-11-01 14:49:28.895393
