id;cian_id;repair_type;total_area;living_area;kitchen_area;ceiling_height;balconies;loggias;rooms_count;separated_wc;combined_wc;windows_view;created_at;updated_at
177;242341540;euro;349.30;191.00;18.00;3.00;1;0;6;3;0;street;2024-10-28 23:45:51.308235;2024-11-01 14:48:58.491645
178;242690916;no;207.90;;;;;;4;;;yardAndStreet;2024-10-28 23:46:19.199327;2024-11-01 14:49:01.247353
179;242691237;no;204.60;;;;1;;4;2;;yardAndStreet;2024-10-28 23:46:49.131294;2024-11-01 14:49:04.770405
180;243257002;cosmetic;118.00;69.40;12.00;3.20;;;5;1;;yardAndStreet;2024-10-28 23:47:05.826749;2024-11-01 14:49:06.550692
181;243441566;no;100.00;;;;0;0;3;1;1;;2024-10-28 23:47:32.836209;2024-11-01 14:49:07.388402
182;243586808;no;65.00;;;;;;2;;1;;2024-10-28 23:48:01.526312;2024-11-01 14:49:08.108298
183;243689888;euro;60.30;20.30;33.90;;0;1;1;0;1;yard;2024-10-28 23:48:13.442522;2024-11-01 14:49:09.347356
184;243789887;design;75.00;45.00;14.00;2.64;0;0;3;0;0;;2024-10-28 23:48:35.381505;2024-11-01 14:49:11.938547
185;243972675;cosmetic;91.00;60.00;8.00;;1;;3;1;;street;2024-10-28 23:48:58.588962;2024-11-01 14:49:15.805402
186;244775968;no;112.50;80.00;;3.50;0;0;3;2;;yardAndStreet;2024-10-28 23:49:14.870279;2024-11-01 14:49:17.342175
187;245009579;design;197.30;125.60;20.00;2.80;0;2;5;1;2;yardAndStreet;2024-10-28 23:49:41.995559;2024-11-01 14:49:18.032288
188;245213482;design;145.50;;;3.30;;;3;2;;;2024-10-28 23:50:02.188476;2024-11-01 14:49:18.761769
189;245277094;design;186.00;120.00;25.00;;;;3;;1;yardAndStreet;2024-10-28 23:50:28.197322;2024-11-01 14:49:20.140345
190;245421315;design;118.00;90.00;12.00;;;;3;2;;;2024-10-28 23:50:51.577169;2024-11-01 14:49:22.480528
191;245684225;euro;32.20;;;2.64;;;1;;1;yard;2024-10-28 23:51:15.573546;2024-11-01 14:49:26.582451
192;246511922;euro;105.00;;;2.64;0;1;3;0;1;yardAndStreet;2024-10-28 23:51:29.735895;2024-11-01 14:49:27.926006
193;246730952;design;96.60;50.00;23.00;3.25;;1;2;2;;yard;2024-10-28 23:52:00.188571;2024-11-01 14:49:28.883233
194;246864056;;171.40;;;;;;4;;;yard;2024-10-28 23:52:24.599131;2024-11-01 14:49:29.718890
195;246918256;no;48.00;26.20;8.50;;;1;2;1;;yardAndStreet;2024-10-28 23:52:52.095741;2024-11-01 14:49:30.818782
196;246930837;design;128.00;;30.00;;;;3;;2;yardAndStreet;2024-10-28 23:53:23.777417;2024-11-01 14:49:33.089948
197;247174958;design;150.00;;;;;;3;;2;yard;2024-10-28 23:53:34.539323;2024-11-01 14:49:37.182240
198;247217289;no;375.00;160.00;44.00;;2;;6;1;4;yardAndStreet;2024-10-28 23:54:03.921520;2024-11-01 14:49:38.570355
199;247310340;design;159.00;100.00;12.00;;;;4;1;1;yardAndStreet;2024-10-28 23:54:20.001928;2024-11-01 14:49:39.578896
200;247444170;design;85.90;54.00;20.00;;;1;3;;2;yard;2024-10-28 23:54:42.367891;2024-11-01 14:49:40.344167
201;247517367;design;425.00;195.00;20.00;;;;6;;3;street;2024-10-28 23:55:02.600183;2024-11-01 14:49:41.679190
202;248190016;cosmetic;61.00;34.00;14.00;;1;;2;1;;street;2024-10-28 23:55:15.492847;2024-11-01 14:49:43.789529
203;248286098;cosmetic;42.00;28.00;5.60;2.64;;;2;1;;yardAndStreet;2024-10-29 00:00:26.497202;2024-11-01 14:49:47.856152
204;248311340;no;101.20;68.00;10.00;2.64;1;0;4;0;0;;2024-10-29 00:00:44.429105;2024-11-01 14:49:49.072387
